TSDate,serieNames,sales
2013-07-01,serie_1,3132.0
2013-07-01,serie_2,1655.0
2013-07-02,serie_1,1970.0
2013-07-02,serie_2,973.0
2013-07-03,serie_1,1782.0
2013-07-03,serie_2,970.0
2013-07-04,serie_1,1916.0
2013-07-04,serie_2,993.0
2013-07-05,serie_1,1237.0
2013-07-05,serie_2,636.0
2013-07-06,serie_1,168.0
2013-07-06,serie_2,87.0
2013-07-07,serie_1,159.0
2013-07-07,serie_2,134.0
2013-07-08,serie_1,3088.0
2013-07-08,serie_2,1585.0
2013-07-09,serie_1,1829.0
2013-07-09,serie_2,986.0
2013-07-10,serie_1,1625.0
2013-07-10,serie_2,832.0
2013-07-11,serie_1,1838.0
2013-07-11,serie_2,955.0
2013-07-12,serie_1,1250.0
2013-07-12,serie_2,660.0
2013-07-13,serie_1,42.0
2013-07-13,serie_2,26.0
2013-07-14,serie_1,395.0
2013-07-14,serie_2,209.0
2013-07-15,serie_1,2805.0
2013-07-15,serie_2,1418.0
2013-07-16,serie_1,1734.0
2013-07-16,serie_2,888.0
2013-07-17,serie_1,1565.0
2013-07-17,serie_2,764.0
2013-07-18,serie_1,1715.0
2013-07-18,serie_2,881.0
2013-07-19,serie_1,1149.0
2013-07-19,serie_2,599.0
2013-07-20,serie_1,61.0
2013-07-20,serie_2,30.0
2013-07-21,serie_1,285.0
2013-07-21,serie_2,137.0
2013-07-22,serie_1,2775.0
2013-07-22,serie_2,1386.0
2013-07-23,serie_1,1644.0
2013-07-23,serie_2,788.0
2013-07-24,serie_1,1457.0
2013-07-24,serie_2,693.0
2013-07-25,serie_1,1718.0
2013-07-25,serie_2,813.0
2013-07-26,serie_1,1217.0
2013-07-26,serie_2,531.0
2013-07-27,serie_1,246.0
2013-07-27,serie_2,65.0
2013-07-28,serie_1,248.0
2013-07-28,serie_2,107.0
2013-07-29,serie_1,2731.0
2013-07-29,serie_2,1267.0
2013-07-30,serie_1,1800.0
2013-07-30,serie_2,840.0
2013-07-31,serie_1,1868.0
2013-07-31,serie_2,782.0
2013-08-01,serie_1,1706.0
2013-08-01,serie_2,883.0
2013-08-02,serie_1,830.0
2013-08-02,serie_2,569.0
2013-08-03,serie_1,120.0
2013-08-03,serie_2,73.0
2013-08-04,serie_1,193.0
2013-08-04,serie_2,52.0
2013-08-05,serie_1,3278.0
2013-08-05,serie_2,1443.0
2013-08-06,serie_1,1977.0
2013-08-06,serie_2,863.0
2013-08-07,serie_1,1628.0
2013-08-07,serie_2,759.0
2013-08-08,serie_1,1940.0
2013-08-08,serie_2,912.0
2013-08-09,serie_1,1306.0
2013-08-09,serie_2,593.0
2013-08-10,serie_1,175.0
2013-08-10,serie_2,83.0
2013-08-11,serie_1,225.0
2013-08-11,serie_2,121.0
2013-08-12,serie_1,2979.0
2013-08-12,serie_2,1342.0
2013-08-13,serie_1,1978.0
2013-08-13,serie_2,891.0
2013-08-14,serie_1,1736.0
2013-08-14,serie_2,826.0
2013-08-15,serie_1,1635.0
2013-08-15,serie_2,795.0
2013-08-16,serie_1,1355.0
2013-08-16,serie_2,592.0
2013-08-17,serie_1,57.0
2013-08-17,serie_2,57.0
2013-08-18,serie_1,93.0
2013-08-18,serie_2,68.0
2013-08-19,serie_1,3156.0
2013-08-19,serie_2,1407.0
2013-08-20,serie_1,2064.0
2013-08-20,serie_2,940.0
2013-08-21,serie_1,1641.0
2013-08-21,serie_2,748.0
2013-08-22,serie_1,2003.0
2013-08-22,serie_2,856.0
2013-08-23,serie_1,1284.0
2013-08-23,serie_2,572.0
2013-08-24,serie_1,155.0
2013-08-24,serie_2,100.0
2013-08-25,serie_1,-135.0
2013-08-25,serie_2,-73.0
2013-08-26,serie_1,3302.0
2013-08-26,serie_2,1493.0
2013-08-27,serie_1,2118.0
2013-08-27,serie_2,944.0
2013-08-28,serie_1,1792.0
2013-08-28,serie_2,794.0
2013-08-29,serie_1,2149.0
2013-08-29,serie_2,990.0
2013-08-30,serie_1,1425.0
2013-08-30,serie_2,660.0
2013-08-31,serie_1,83.0
2013-08-31,serie_2,37.0
2013-09-01,serie_1,83.0
2013-09-01,serie_2,57.0
2013-09-02,serie_1,3537.0
2013-09-02,serie_2,1593.0
2013-09-03,serie_1,2219.0
2013-09-03,serie_2,957.0
2013-09-04,serie_1,1837.0
2013-09-04,serie_2,831.0
2013-09-05,serie_1,2043.0
2013-09-05,serie_2,951.0
2013-09-06,serie_1,1395.0
2013-09-06,serie_2,633.0
2013-09-07,serie_1,70.0
2013-09-07,serie_2,38.0
2013-09-08,serie_1,155.0
2013-09-08,serie_2,106.0
2013-09-09,serie_1,3404.0
2013-09-09,serie_2,1535.0
2013-09-10,serie_1,2174.0
2013-09-10,serie_2,959.0
2013-09-11,serie_1,1771.0
2013-09-11,serie_2,774.0
2013-09-12,serie_1,2016.0
2013-09-12,serie_2,897.0
2013-09-13,serie_1,1329.0
2013-09-13,serie_2,619.0
2013-09-14,serie_1,148.0
2013-09-14,serie_2,39.0
2013-09-15,serie_1,99.0
2013-09-15,serie_2,58.0
2013-09-16,serie_1,3334.0
2013-09-16,serie_2,1488.0
2013-09-17,serie_1,2103.0
2013-09-17,serie_2,1007.0
2013-09-18,serie_1,1833.0
2013-09-18,serie_2,766.0
2013-09-19,serie_1,1952.0
2013-09-19,serie_2,836.0
2013-09-20,serie_1,1317.0
2013-09-20,serie_2,669.0
2013-09-21,serie_1,98.0
2013-09-21,serie_2,64.0
2013-09-22,serie_1,190.0
2013-09-22,serie_2,-17.0
2013-09-23,serie_1,3287.0
2013-09-23,serie_2,1498.0
2013-09-24,serie_1,2142.0
2013-09-24,serie_2,897.0
2013-09-25,serie_1,1888.0
2013-09-25,serie_2,818.0
2013-09-26,serie_1,2319.0
2013-09-26,serie_2,1107.0
2013-09-27,serie_1,1516.0
2013-09-27,serie_2,670.0
2013-09-28,serie_1,159.0
2013-09-28,serie_2,102.0
2013-09-29,serie_1,31.0
2013-09-29,serie_2,52.0
2013-09-30,serie_1,3641.0
2013-09-30,serie_2,1520.0
2013-10-01,serie_1,2329.0
2013-10-01,serie_2,987.0
2013-10-02,serie_1,1921.0
2013-10-02,serie_2,835.0
2013-10-03,serie_1,2250.0
2013-10-03,serie_2,864.0
2013-10-04,serie_1,1548.0
2013-10-04,serie_2,634.0
2013-10-05,serie_1,32.0
2013-10-05,serie_2,36.0
2013-10-06,serie_1,203.0
2013-10-06,serie_2,174.0
2013-10-07,serie_1,3704.0
2013-10-07,serie_2,1490.0
2013-10-08,serie_1,2106.0
2013-10-08,serie_2,814.0
2013-10-09,serie_1,1778.0
2013-10-09,serie_2,714.0
2013-10-10,serie_1,2094.0
2013-10-10,serie_2,847.0
2013-10-11,serie_1,1417.0
2013-10-11,serie_2,572.0
2013-10-12,serie_1,33.0
2013-10-12,serie_2,22.0
2013-10-13,serie_1,263.0
2013-10-13,serie_2,142.0
2013-10-14,serie_1,3399.0
2013-10-14,serie_2,1331.0
2013-10-15,serie_1,2094.0
2013-10-15,serie_2,785.0
2013-10-16,serie_1,1839.0
2013-10-16,serie_2,713.0
2013-10-17,serie_1,2038.0
2013-10-17,serie_2,815.0
2013-10-18,serie_1,1356.0
2013-10-18,serie_2,542.0
2013-10-19,serie_1,61.0
2013-10-19,serie_2,24.0
2013-10-20,serie_1,232.0
2013-10-20,serie_2,138.0
2013-10-21,serie_1,3388.0
2013-10-21,serie_2,1299.0
2013-10-22,serie_1,2033.0
2013-10-22,serie_2,767.0
2013-10-23,serie_1,1706.0
2013-10-23,serie_2,673.0
2013-10-24,serie_1,2091.0
2013-10-24,serie_2,796.0
2013-10-25,serie_1,1421.0
2013-10-25,serie_2,529.0
2013-10-26,serie_1,174.0
2013-10-26,serie_2,79.0
2013-10-27,serie_1,210.0
2013-10-27,serie_2,99.0
2013-10-28,serie_1,3343.0
2013-10-28,serie_2,1261.0
2013-10-29,serie_1,2135.0
2013-10-29,serie_2,813.0
2013-10-30,serie_1,2018.0
2013-10-30,serie_2,737.0
2013-10-31,serie_1,2357.0
2013-10-31,serie_2,932.0
2013-11-01,serie_1,1031.0
2013-11-01,serie_2,533.0
2013-11-02,serie_1,83.0
2013-11-02,serie_2,41.0
2013-11-03,serie_1,153.0
2013-11-03,serie_2,43.0
2013-11-04,serie_1,3683.0
2013-11-04,serie_2,1430.0
2013-11-05,serie_1,2555.0
2013-11-05,serie_2,1019.0
2013-11-06,serie_1,1992.0
2013-11-06,serie_2,809.0
2013-11-07,serie_1,2275.0
2013-11-07,serie_2,921.0
2013-11-08,serie_1,1468.0
2013-11-08,serie_2,612.0
2013-11-09,serie_1,336.0
2013-11-09,serie_2,127.0
2013-11-10,serie_1,-102.0
2013-11-10,serie_2,-54.0
2013-11-11,serie_1,3829.0
2013-11-11,serie_2,1584.0
2013-11-12,serie_1,2084.0
2013-11-12,serie_2,798.0
2013-11-13,serie_1,2102.0
2013-11-13,serie_2,810.0
2013-11-14,serie_1,2258.0
2013-11-14,serie_2,882.0
2013-11-15,serie_1,1515.0
2013-11-15,serie_2,583.0
2013-11-16,serie_1,103.0
2013-11-16,serie_2,66.0
2013-11-17,serie_1,557.0
2013-11-17,serie_2,231.0
2013-11-18,serie_1,3327.0
2013-11-18,serie_2,1287.0
2013-11-19,serie_1,2148.0
2013-11-19,serie_2,853.0
2013-11-20,serie_1,2068.0
2013-11-20,serie_2,797.0
2013-11-21,serie_1,2215.0
2013-11-21,serie_2,911.0
2013-11-22,serie_1,1505.0
2013-11-22,serie_2,614.0
2013-11-23,serie_1,82.0
2013-11-23,serie_2,48.0
2013-11-24,serie_1,318.0
2013-11-24,serie_2,104.0
2013-11-25,serie_1,2981.0
2013-11-25,serie_2,1219.0
2013-11-26,serie_1,2321.0
2013-11-26,serie_2,909.0
2013-11-27,serie_1,2229.0
2013-11-27,serie_2,915.0
2013-11-28,serie_1,2328.0
2013-11-28,serie_2,949.0
2013-11-29,serie_1,1924.0
2013-11-29,serie_2,797.0
2013-11-30,serie_1,393.0
2013-11-30,serie_2,228.0
2013-12-01,serie_1,2452.0
2013-12-01,serie_2,966.0
2013-12-02,serie_1,2801.0
2013-12-02,serie_2,1186.0
2013-12-03,serie_1,2414.0
2013-12-03,serie_2,954.0
2013-12-04,serie_1,2653.0
2013-12-04,serie_2,1116.0
2013-12-05,serie_1,2344.0
2013-12-05,serie_2,1012.0
2013-12-06,serie_1,1919.0
2013-12-06,serie_2,822.0
2013-12-07,serie_1,122.0
2013-12-07,serie_2,99.0
2013-12-08,serie_1,2653.0
2013-12-08,serie_2,1133.0
2013-12-09,serie_1,3014.0
2013-12-09,serie_2,1255.0
2013-12-10,serie_1,2408.0
2013-12-10,serie_2,983.0
2013-12-11,serie_1,2562.0
2013-12-11,serie_2,1044.0
2013-12-12,serie_1,2353.0
2013-12-12,serie_2,1086.0
2013-12-13,serie_1,2002.0
2013-12-13,serie_2,864.0
2013-12-14,serie_1,284.0
2013-12-14,serie_2,106.0
2013-12-15,serie_1,2770.0
2013-12-15,serie_2,1154.0
2013-12-16,serie_1,3079.0
2013-12-16,serie_2,1226.0
2013-12-17,serie_1,2694.0
2013-12-17,serie_2,1168.0
2013-12-18,serie_1,3346.0
2013-12-18,serie_2,1423.0
2013-12-19,serie_1,2907.0
2013-12-19,serie_2,1274.0
2013-12-20,serie_1,2469.0
2013-12-20,serie_2,1059.0
2013-12-21,serie_1,617.0
2013-12-21,serie_2,352.0
2013-12-22,serie_1,3337.0
2013-12-22,serie_2,1457.0
2013-12-23,serie_1,4274.0
2013-12-23,serie_2,1830.0
2013-12-24,serie_1,3719.0
2013-12-24,serie_2,1693.0
2013-12-25,serie_1,33.0
2013-12-25,serie_2,109.0
2013-12-26,serie_1,1794.0
2013-12-26,serie_2,687.0
2013-12-27,serie_1,3258.0
2013-12-27,serie_2,1367.0
2013-12-28,serie_1,63.0
2013-12-28,serie_2,-101.0
2013-12-29,serie_1,2591.0
2013-12-29,serie_2,1219.0
2013-12-30,serie_1,3552.0
2013-12-30,serie_2,1498.0
2013-12-31,serie_1,1412.0
2013-12-31,serie_2,495.0
2014-01-01,serie_1,399.0
2014-01-01,serie_2,200.0
2014-01-02,serie_1,3222.0
2014-01-02,serie_2,1303.0
2014-01-03,serie_1,2255.0
2014-01-03,serie_2,844.0
2014-01-04,serie_1,651.0
2014-01-04,serie_2,225.0
2014-01-05,serie_1,2263.0
2014-01-05,serie_2,875.0
2014-01-06,serie_1,2994.0
2014-01-06,serie_2,1089.0
2014-01-07,serie_1,1582.0
2014-01-07,serie_2,581.0
2014-01-08,serie_1,2070.0
2014-01-08,serie_2,808.0
2014-01-09,serie_1,2960.0
2014-01-09,serie_2,1090.0
2014-01-10,serie_1,2337.0
2014-01-10,serie_2,834.0
2014-01-11,serie_1,-216.0
2014-01-11,serie_2,-93.0
2014-01-12,serie_1,3069.0
2014-01-12,serie_2,1156.0
2014-01-13,serie_1,2754.0
2014-01-13,serie_2,1043.0
2014-01-14,serie_1,2170.0
2014-01-14,serie_2,813.0
2014-01-15,serie_1,2614.0
2014-01-15,serie_2,938.0
2014-01-16,serie_1,2372.0
2014-01-16,serie_2,896.0
2014-01-17,serie_1,1997.0
2014-01-17,serie_2,768.0
2014-01-18,serie_1,284.0
2014-01-18,serie_2,125.0
2014-01-19,serie_1,2761.0
2014-01-19,serie_2,1014.0
2014-01-20,serie_1,2776.0
2014-01-20,serie_2,1010.0
2014-01-21,serie_1,2169.0
2014-01-21,serie_2,818.0
2014-01-22,serie_1,2361.0
2014-01-22,serie_2,935.0
2014-01-23,serie_1,2292.0
2014-01-23,serie_2,834.0
2014-01-24,serie_1,1944.0
2014-01-24,serie_2,707.0
2014-01-25,serie_1,352.0
2014-01-25,serie_2,126.0
2014-01-26,serie_1,2637.0
2014-01-26,serie_2,965.0
2014-01-27,serie_1,2731.0
2014-01-27,serie_2,1038.0
2014-01-28,serie_1,2125.0
2014-01-28,serie_2,783.0
2014-01-29,serie_1,2526.0
2014-01-29,serie_2,931.0
2014-01-30,serie_1,2343.0
2014-01-30,serie_2,867.0
2014-01-31,serie_1,1990.0
2014-01-31,serie_2,719.0
2014-02-01,serie_1,171.0
2014-02-01,serie_2,96.0
2014-02-02,serie_1,2541.0
2014-02-02,serie_2,981.0
2014-02-03,serie_1,2698.0
2014-02-03,serie_2,995.0
2014-02-04,serie_1,2031.0
2014-02-04,serie_2,738.0
2014-02-05,serie_1,2387.0
2014-02-05,serie_2,815.0
2014-02-06,serie_1,2232.0
2014-02-06,serie_2,843.0
2014-02-07,serie_1,1914.0
2014-02-07,serie_2,709.0
2014-02-08,serie_1,311.0
2014-02-08,serie_2,119.0
2014-02-09,serie_1,2544.0
2014-02-09,serie_2,930.0
2014-02-10,serie_1,2602.0
2014-02-10,serie_2,901.0
2014-02-11,serie_1,2063.0
2014-02-11,serie_2,755.0
2014-02-12,serie_1,2301.0
2014-02-12,serie_2,901.0
2014-02-13,serie_1,2135.0
2014-02-13,serie_2,823.0
2014-02-14,serie_1,1863.0
2014-02-14,serie_2,689.0
2014-02-15,serie_1,207.0
2014-02-15,serie_2,89.0
2014-02-16,serie_1,2496.0
2014-02-16,serie_2,938.0
2014-02-17,serie_1,2558.0
2014-02-17,serie_2,945.0
2014-02-18,serie_1,1971.0
2014-02-18,serie_2,758.0
2014-02-19,serie_1,2208.0
2014-02-19,serie_2,825.0
2014-02-20,serie_1,1961.0
2014-02-20,serie_2,751.0
2014-02-21,serie_1,1723.0
2014-02-21,serie_2,641.0
2014-02-22,serie_1,221.0
2014-02-22,serie_2,80.0
2014-02-23,serie_1,2292.0
2014-02-23,serie_2,838.0
2014-02-24,serie_1,2476.0
2014-02-24,serie_2,909.0
2014-02-25,serie_1,1938.0
2014-02-25,serie_2,736.0
2014-02-26,serie_1,2233.0
2014-02-26,serie_2,843.0
2014-02-27,serie_1,2159.0
2014-02-27,serie_2,793.0
2014-02-28,serie_1,1798.0
2014-02-28,serie_2,648.0
2014-03-01,serie_1,149.0
2014-03-01,serie_2,70.0
2014-03-02,serie_1,2312.0
2014-03-02,serie_2,840.0
2014-03-03,serie_1,2512.0
2014-03-03,serie_2,940.0
2014-03-04,serie_1,2035.0
2014-03-04,serie_2,744.0
2014-03-05,serie_1,2291.0
2014-03-05,serie_2,834.0
2014-03-06,serie_1,2014.0
2014-03-06,serie_2,753.0
2014-03-07,serie_1,1755.0
2014-03-07,serie_2,629.0
2014-03-08,serie_1,274.0
2014-03-08,serie_2,70.0
2014-03-09,serie_1,2336.0
2014-03-09,serie_2,820.0
2014-03-10,serie_1,2532.0
2014-03-10,serie_2,895.0
2014-03-11,serie_1,1881.0
2014-03-11,serie_2,685.0
2014-03-12,serie_1,2245.0
2014-03-12,serie_2,788.0
2014-03-13,serie_1,2035.0
2014-03-13,serie_2,731.0
2014-03-14,serie_1,1697.0
2014-03-14,serie_2,603.0
2014-03-15,serie_1,136.0
2014-03-15,serie_2,45.0
2014-03-16,serie_1,2084.0
2014-03-16,serie_2,735.0
2014-03-17,serie_1,2431.0
2014-03-17,serie_2,850.0
2014-03-18,serie_1,2006.0
2014-03-18,serie_2,674.0
2014-03-19,serie_1,2232.0
2014-03-19,serie_2,779.0
2014-03-20,serie_1,1975.0
2014-03-20,serie_2,682.0
2014-03-21,serie_1,1667.0
2014-03-21,serie_2,580.0
2014-03-22,serie_1,528.0
2014-03-22,serie_2,185.0
2014-03-23,serie_1,2287.0
2014-03-23,serie_2,809.0
2014-03-24,serie_1,2912.0
2014-03-24,serie_2,965.0
2014-03-25,serie_1,2352.0
2014-03-25,serie_2,813.0
2014-03-26,serie_1,2694.0
2014-03-26,serie_2,899.0
2014-03-27,serie_1,2660.0
2014-03-27,serie_2,882.0
2014-03-28,serie_1,2286.0
2014-03-28,serie_2,766.0
2014-03-29,serie_1,344.0
2014-03-29,serie_2,161.0
2014-03-30,serie_1,3124.0
2014-03-30,serie_2,1079.0
2014-03-31,serie_1,3323.0
2014-03-31,serie_2,1138.0
2014-04-01,serie_1,2394.0
2014-04-01,serie_2,815.0
2014-04-02,serie_1,2476.0
2014-04-02,serie_2,822.0
2014-04-03,serie_1,2418.0
2014-04-03,serie_2,838.0
2014-04-04,serie_1,2063.0
2014-04-04,serie_2,714.0
2014-04-05,serie_1,105.0
2014-04-05,serie_2,66.0
2014-04-06,serie_1,2801.0
2014-04-06,serie_2,919.0
2014-04-07,serie_1,2688.0
2014-04-07,serie_2,936.0
2014-04-08,serie_1,2210.0
2014-04-08,serie_2,771.0
2014-04-09,serie_1,2665.0
2014-04-09,serie_2,900.0
2014-04-10,serie_1,2230.0
2014-04-10,serie_2,807.0
2014-04-11,serie_1,1858.0
2014-04-11,serie_2,671.0
2014-04-12,serie_1,160.0
2014-04-12,serie_2,101.0
2014-04-13,serie_1,2553.0
2014-04-13,serie_2,882.0
2014-04-14,serie_1,2807.0
2014-04-14,serie_2,998.0
2014-04-15,serie_1,2230.0
2014-04-15,serie_2,792.0
2014-04-16,serie_1,2366.0
2014-04-16,serie_2,881.0
2014-04-17,serie_1,2225.0
2014-04-17,serie_2,866.0
2014-04-18,serie_1,1883.0
